### This localisation file has been automatically generated ###;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
#   <https://github.com/moretrim/trait-lineariser>            #;;;;;;;;;;;;;;
## UI tweaks;;;;;;;;;;;;;;
impetuousxgenerals_aide;     §u–1§! §h+10%§!   Impetuous, general's aide;     §u–1§! §h+10%§!   Impétueux, aide de camp;     §u–1§! §h+10%§!   Ungestüm, generalsadjutant;;     §u–1§! §h+10%§!   Impetuoso, ayudante de campo;;;;;;;;;
impetuousxamateur;     §R–3§! §u–15%§!   Impetuous, amateur;     §R–3§! §u–15%§!   Impétueux, amateur;     §R–3§! §u–15%§!   Ungestüm, amateur;;     §R–3§! §u–15%§!   Impetuoso, aficionado;;;;;;;;;
impetuousxmadman;     §u–2§! §h+10%§!§R¡¡¡§! Impetuous, madman;     §u–2§! §h+10%§!§R¡¡¡§! Impétueux, fou;     §u–2§! §h+10%§!§R¡¡¡§! Ungestüm, irrer;;     §u–2§! §h+10%§!§R¡¡¡§! Impetuoso, loco;;;;;;;;;
impetuousxaristocrat;     §u–2§! §h+10%§!§h?§! Impetuous, aristocrat;     §u–2§! §h+10%§!§h?§! Impétueux, aristocrate;     §u–2§! §h+10%§!§h?§! Ungestüm, aristokrat;;     §u–2§! §h+10%§!§h?§! Impetuoso, aristócrata;;;;;;;;;
impetuousxdrillmaster;     §u–2§! §h+10%§!§G!!!§! Impetuous, drillmaster;     §u–2§! §h+10%§!§G!!!§! Impétueux, sergent instructeur;     §u–2§! §h+10%§!§G!!!§! Ungestüm, zuchtmeister;;     §u–2§! §h+10%§!§G!!!§! Impetuoso, instructor;;;;;;;;;
impetuousxbutcher;     §u–2§! §h+10%§!§u¿§! Impetuous, butcher;     §u–2§! §h+10%§!§u¿§! Impétueux, boucher;     §u–2§! §h+10%§!§u¿§! Ungestüm, schlächter;;     §u–2§! §h+10%§!§u¿§! Impetuoso, carnicero;;;;;;;;;
impetuousxexranker;     §u–2§! §h+10%§!§u¿§! Impetuous, exranker;     §u–2§! §h+10%§!§u¿§! Impétueux, ancien militaire;     §u–2§! §h+10%§!§u¿§! Ungestüm, ex-gefreiter;;     §u–2§! §h+10%§!§u¿§! Impetuoso, ascendido desde la tropa;;;;;;;;;
impetuousxadventurer;§h+1§! §u–2§! §h+10%§!   Impetuous, adventurer;§h+1§! §u–2§! §h+10%§!   Impétueux, aventurier;§h+1§! §u–2§! §h+10%§!   Ungestüm, abenteurer;;§h+1§! §u–2§! §h+10%§!   Impetuoso, aventurero;;;;;;;;;
impetuousxdebutante;     §u–2§! §h+10%§!   Impetuous, debutante;     §u–2§! §h+10%§!   Impétueux, débutant;     §u–2§! §h+10%§!   Ungestüm, debütant;;     §u–2§! §h+10%§!   Impetuoso, debutante;;;;;;;;;
impetuousxcolonial_b;     §R–4§! §G+30%§!§u¿§! Impetuous, colonial;     §R–4§! §G+30%§!§u¿§! Impétueux, colonial;     §R–4§! §G+30%§!§u¿§! Ungestüm, kolonial;;     §R–4§! §G+30%§!§u¿§! Impetuoso, colonial;;;;;;;;;
impetuousxdisgraced;     §u–2§! §h+10%§!   Impetuous, disgraced;     §u–2§! §h+10%§!   Impétueux, déshonoré;     §u–2§! §h+10%§!   Ungestüm, in ungnade gefallener;;     §u–2§! §h+10%§!   Impetuoso, deshonrado;;;;;;;;;
impetuousxpriest;     §u–2§! §h+10%§!   Impetuous, priest;     §u–2§! §h+10%§!   Impétueux, prêtre;     §u–2§! §h+10%§!   Ungestüm, priester;;     §u–2§! §h+10%§!   Impetuoso, sacerdote;;;;;;;;;
impetuousxrising_star;     §u–2§! §h+10%§!   Impetuous, rising star;     §u–2§! §h+10%§!   Impétueux, étoile montante;     §u–2§! §h+10%§!   Ungestüm, aufsteigender stern;;     §u–2§! §h+10%§!   Impetuoso, nueva promesa;;;;;;;;;
impetuousxpolitician;     §u–2§! §h+10%§!§u¿§! Impetuous, politician;     §u–2§! §h+10%§!§u¿§! Impétueux, politicien;     §u–2§! §h+10%§!§u¿§! Ungestüm, politiker;;     §u–2§! §h+10%§!§u¿§! Impetuoso, político;;;;;;;;;
impetuousxpoet;§u–1§! §u–2§! §h+10%§!§G!!!§! Impetuous, poet;§u–1§! §u–2§! §h+10%§!§G!!!§! Impétueux, poète;§u–1§! §u–2§! §h+10%§!§G!!!§! Ungestüm, poet;;§u–1§! §u–2§! §h+10%§!§G!!!§! Impetuoso, poeta;;;;;;;;;
impetuousxcartographer;     §u–2§! §G+50%§!   Impetuous, cartographer;     §u–2§! §G+50%§!   Impétueux, cartographe;     §u–2§! §G+50%§!   Ungestüm, kartograf;;     §u–2§! §G+50%§!   Impetuoso, cartógrafo;;;;;;;;;
impetuousxprofessor;§u–1§! §R–3§! §h+10%§!§G!!!§! Impetuous, professor;§u–1§! §R–3§! §h+10%§!§G!!!§! Impétueux, professeur;§u–1§! §R–3§! §h+10%§!§G!!!§! Ungestüm, professor;;§u–1§! §R–3§! §h+10%§!§G!!!§! Impetuoso, profesor;;;;;;;;;
impetuousxold_school;§h+1§! §R–4§! §h+10%§!§G!!!§! Impetuous, old school;§h+1§! §R–4§! §h+10%§!§G!!!§! Impétueux, vieille école;§h+1§! §R–4§! §h+10%§!§G!!!§! Ungestüm, alte schule;;§h+1§! §R–4§! §h+10%§!§G!!!§! Impetuoso, de la vieja escuela;;;;;;;;;
impetuousxeccentric_genius;§h+2§! §u–2§! §h+10%§!§u¿§! Impetuous, eccentric genius;§h+2§! §u–2§! §h+10%§!§u¿§! Impétueux, génie excentrique;§h+2§! §u–2§! §h+10%§!§u¿§! Ungestüm, exzentrisches genie;;§h+2§! §u–2§! §h+10%§!§u¿§! Impetuoso, genio excéntrico;;;;;;;;;
impetuousxgifted_administrator;     §u–2§! §h+10%§!§h?§! Impetuous, gifted administrator;     §u–2§! §h+10%§!§h?§! Impétueux, administrateur doué;     §u–2§! §h+10%§!§h?§! Ungestüm, begabter administrator;;     §u–2§! §h+10%§!§h?§! Impetuoso, gran administrador;;;;;;;;;
impetuousxinnovative_tactician;§h+1§! §u–2§! §h+10%§!   Impetuous, innovative tactician;§h+1§! §u–2§! §h+10%§!   Impétueux, tacticien novateur;§h+1§! §u–2§! §h+10%§!   Ungestüm, innovativer taktiker;;§h+1§! §u–2§! §h+10%§!   Impetuoso, táctico innovador;;;;;;;;;
impetuousxexpert_raider;§h+2§! §u–2§! §h+10%§!   Impetuous, expert raider;§h+2§! §u–2§! §h+10%§!   Impétueux, commando expérimenté;§h+2§! §u–2§! §h+10%§!   Ungestüm, überfallexperte;;§h+2§! §u–2§! §h+10%§!   Impetuoso, experto en asaltos;;;;;;;;;
impetuousxnatural_born_leader;§h+1§! §u–2§! §h+10%§!§h?§! Impetuous, natural born leader;§h+1§! §u–2§! §h+10%§!§h?§! Impétueux, chef naturel;§h+1§! §u–2§! §h+10%§!§h?§! Ungestüm, geborener anführer;;§h+1§! §u–2§! §h+10%§!§h?§! Impetuoso, líder nato;;;;;;;;;
impetuousxmegalomaniac;§u–2§! §u–2§! §h+10%§!   Impetuous, megalomaniac;§u–2§! §u–2§! §h+10%§!   Impétueux, mégalomane;§u–2§! §u–2§! §h+10%§!   Ungestüm, megalomane;;§u–2§! §u–2§! §h+10%§!   Impetuoso, megalómano;;;;;;;;;
impetuousxhated;§h+1§! §u–1§! §h+10%§!§R¡¡¡§! Impetuous, hated;§h+1§! §u–1§! §h+10%§!§R¡¡¡§! Impétueux, odieux;§h+1§! §u–1§! §h+10%§!§R¡¡¡§! Ungestüm, gehasst;;§h+1§! §u–1§! §h+10%§!§R¡¡¡§! Impetuoso, odiado;;;;;;;;;
impetuousxcursed_luck;§h+2§! §h+2§! §h+10%§!§R¡¡¡§! Impetuous, cursed luck;§h+2§! §h+2§! §h+10%§!§R¡¡¡§! Impétueux, malchanceux;§h+2§! §h+2§! §h+10%§!§R¡¡¡§! Ungestüm, vom pech verflucht;;§h+2§! §h+2§! §h+10%§!§R¡¡¡§! Impetuoso, mala pata;;;;;;;;;
impetuousxclueless;§u–1§! §u–2§! §h+10%§!§R¡¡¡§! Impetuous, clueless;§u–1§! §u–2§! §h+10%§!§R¡¡¡§! Impétueux, ignorant;§u–1§! §u–2§! §h+10%§!§R¡¡¡§! Ungestüm, ahnungslos;;§u–1§! §u–2§! §h+10%§!§R¡¡¡§! Impetuoso, negado;;;;;;;;;
impetuousxdiplomat;     §u–2§! §h  +5%§!   Impetuous, diplomat;     §u–2§! §h  +5%§!   Impétueux, diplomate;     §u–2§! §h  +5%§!   Ungestüm, diplomat;;     §u–2§! §h  +5%§!   Impetuoso, diplomático;;;;;;;;;
impetuousxpowerful_friends;     §u–2§! §u–10%§!   Impetuous, powerful friends;     §u–2§! §u–10%§!   Impétueux, amis puissants;     §u–2§! §u–10%§!   Ungestüm, mächtige freunde;;     §u–2§! §u–10%§!   Impetuoso, de padrinos poderosos;;;;;;;;;
impetuousximmoral;     §u–2§! §h+10%§!§R¡¡¡§! Impetuous, immoral;     §u–2§! §h+10%§!§R¡¡¡§! Impétueux, immoral;     §u–2§! §h+10%§!§R¡¡¡§! Ungestüm, unmoralisch;;     §u–2§! §h+10%§!§R¡¡¡§! Impetuoso, inmoral;;;;;;;;;
impetuousxwomanizer;     §u–2§! §h+10%§!§G!!!§! Impetuous, womanizer;     §u–2§! §h+10%§!§G!!!§! Impétueux, coureur de jupons;     §u–2§! §h+10%§!§G!!!§! Ungestüm, schürzenjäger;;     §u–2§! §h+10%§!§G!!!§! Impetuoso, mujeriego;;;;;;;;;
impetuousxwarmonger;     §u–2§! §h+20%§!§R¡¡¡§! Impetuous, warmonger;     §u–2§! §h+20%§!§R¡¡¡§! Impétueux, belliciste;     §u–2§! §h+20%§!§R¡¡¡§! Ungestüm, kriegstreiber;;     §u–2§! §h+20%§!§R¡¡¡§! Impetuoso, belicista;;;;;;;;;
impetuousxcorrupt;     §u–2§! §h+10%§!§R¡¡¡§! Impetuous, corrupt;     §u–2§! §h+10%§!§R¡¡¡§! Impétueux, corrompu;     §u–2§! §h+10%§!§R¡¡¡§! Ungestüm, korrupt;;     §u–2§! §h+10%§!§R¡¡¡§! Impetuoso, corrupto;;;;;;;;;
impetuousxbootlicker;     §u–1§! §h+10%§!   Impetuous, bootlicker;     §u–1§! §h+10%§!   Impétueux, lèche-bottes;     §u–1§! §h+10%§!   Ungestüm, speichellecker;;     §u–1§! §h+10%§!   Impetuoso, pelotillero;;;;;;;;;
impetuousxsycophant;     §u–2§! §h+10%§!§G!!!§! Impetuous, sycophant;     §u–2§! §h+10%§!§G!!!§! Impétueux, flagorneur;     §u–2§! §h+10%§!§G!!!§! Ungestüm, kriecher;;     §u–2§! §h+10%§!§G!!!§! Impetuoso, adulador;;;;;;;;;
impetuousxtoady;§h+1§! §u–2§! §h+10%§!   Impetuous, toady;§h+1§! §u–2§! §h+10%§!   Impétueux, flatteur;§h+1§! §u–2§! §h+10%§!   Ungestüm, schleimer;;§h+1§! §u–2§! §h+10%§!   Impetuoso, pelota;;;;;;;;;
impetuousxyesman;     §u–2§! §h+10%§!   Impetuous, yesman;     §u–2§! §h+10%§!   Impétueux, béni-oui-oui;     §u–2§! §h+10%§!   Ungestüm, jasager;;     §u–2§! §h+10%§!   Impetuoso, pelotillero;;;;;;;;;
impetuousxbrownnoser;§h+1§! §u–2§! §h+10%§!   Impetuous, brownnoser;§h+1§! §u–2§! §h+10%§!   Impétueux, lèche-cul;§h+1§! §u–2§! §h+10%§!   Ungestüm, stiefellecker;;§h+1§! §u–2§! §h+10%§!   Impetuoso, obsequioso;;;;;;;;;
impetuousxspoiled;§h+2§! §u–2§! §h+10%§!   Impetuous, spoiled;§h+2§! §u–2§! §h+10%§!   Impétueux, gâté;§h+2§! §u–2§! §h+10%§!   Ungestüm, verwöhnt;;§h+2§! §u–2§! §h+10%§!   Impetuoso, malcriado;;;;;;;;;
impetuousxschool_of_defense;     §h+1§! §h+10%§!   Impetuous, school of defense;     §h+1§! §h+10%§!   Impétueux, école de défense;     §h+1§! §h+10%§!   Ungestüm, schule der verteidigung;;     §h+1§! §h+10%§!   Impetuoso, escuela de la defensa;;;;;;;;;
impetuousxschool_of_offense;§h+1§! §u–2§! §h+20%§!§h?§! Impetuous, school of offense;§h+1§! §u–2§! §h+20%§!§h?§! Impétueux, école d'attaque;§h+1§! §u–2§! §h+20%§!§h?§! Ungestüm, schule der offensive;;§h+1§! §u–2§! §h+20%§!§h?§! Impetuoso, escuela del ataque;;;;;;;;;
impetuousxschool_of_the_bayonet;§h+2§! §u–1§! §h+20%§!   Impetuous, school of the bayonet;§h+2§! §u–1§! §h+20%§!   Impétueux, école de la baïonnette;§h+2§! §u–1§! §h+20%§!   Ungestüm, schule des bajonetts;;§h+2§! §u–1§! §h+20%§!   Impetuoso, escuela de la bayoneta;;;;;;;;;
impetuousxschool_of_firepower;§h+1§! §u–2§! §h+10%§!§G!!!§! Impetuous, school of firepower;§h+1§! §u–2§! §h+10%§!§G!!!§! Impétueux, école de la puissance de feu;§h+1§! §u–2§! §h+10%§!§G!!!§! Ungestüm, schule der feuerkraft;;§h+1§! §u–2§! §h+10%§!§G!!!§! Impetuoso, escuela de la potencia de fuego;;;;;;;;;
impetuousxartillerist;     §u–1§! §h+10%§!§h?§! Impetuous, artillerist;     §u–1§! §h+10%§!§h?§! Impétueux, artilleur;     §u–1§! §h+10%§!§h?§! Ungestüm, artillerist;;     §u–1§! §h+10%§!§h?§! Impetuoso, artillero;;;;;;;;;
impetuousxuncommonly_young;§h+1§! §u–1§! §h+10%§!   Impetuous, uncommonly young;§h+1§! §u–1§! §h+10%§!   Impétueux, singulièrement jeune;§h+1§! §u–1§! §h+10%§!   Ungestüm, ungewöhnlich jung;;§h+1§! §u–1§! §h+10%§!   Impetuoso, extraordinariamente joven;;;;;;;;;
impetuousxsucker;§u–1§! §u–2§! §h+10%§!   Impetuous, sucker;§u–1§! §u–2§! §h+10%§!   Impétueux, gogo;§u–1§! §u–2§! §h+10%§!   Ungestüm, trottel;;§u–1§! §u–2§! §h+10%§!   Impetuoso, chupóptero;;;;;;;;;
impetuousxsad_sack;§u–2§! §u–2§! §h+10%§!   Impetuous, sad sack;§u–2§! §u–2§! §h+10%§!   Impétueux, raté;§u–2§! §u–2§! §h+10%§!   Ungestüm, trauriger sack;;§u–2§! §u–2§! §h+10%§!   Impetuoso, negado;;;;;;;;;
impetuousxunfit;§u–2§! §u–2§! §h+10%§!§R¡¡¡§! Impetuous, unfit;§u–2§! §u–2§! §h+10%§!§R¡¡¡§! Impétueux, inapte;§u–2§! §u–2§! §h+10%§!§R¡¡¡§! Ungestüm, ungeeignet;;§u–2§! §u–2§! §h+10%§!§R¡¡¡§! Impetuoso, inútil;;;;;;;;;
impetuousxunqualified;     §u–2§! §u–10%§!§u¿§! Impetuous, unqualified;     §u–2§! §u–10%§!§u¿§! Impétueux, non qualifié;     §u–2§! §u–10%§!§u¿§! Ungestüm, unqualifiziert;;     §u–2§! §u–10%§!§u¿§! Impetuoso, inepto;;;;;;;;;
impetuousxpawn;     §u–2§! §h+10%§!   Impetuous, pawn;     §u–2§! §h+10%§!   Impétueux, pion;     §u–2§! §h+10%§!   Ungestüm, pfand;;     §u–2§! §h+10%§!   Impetuoso, títere;;;;;;;;;
impetuousxelderly;     §u–2§! §h+10%§!   Impetuous, elderly;     §u–2§! §h+10%§!   Impétueux, âgé;     §u–2§! §h+10%§!   Ungestüm, älter;;     §u–2§! §h+10%§!   Impetuoso, anciano;;;;;;;;;
impetuousxincompetent;     §u–2§! §h+10%§!   Impetuous, incompetent;     §u–2§! §h+10%§!   Impétueux, incompétent;     §u–2§! §h+10%§!   Ungestüm, inkompetent;;     §u–2§! §h+10%§!   Impetuoso, incompetente;;;;;;;;;
politexwar_college;§h+1§!                 Polite, war college;§h+1§!                 Poli, école militaire;§h+1§!                 Höflich, militärakademie;;§h+1§!                 Educado, academia militar;;;;;;;;;
politexcavalry_school;§h+2§!                 Polite, cavalry school;§h+2§!                 Poli, école de cavalerie;§h+2§!                 Höflich, kavallerieschule;;§h+2§!                 Educado, escuela de caballería;;;;;;;;;
politexengineer;          §h  +5%§!   Polite, engineer;          §h  +5%§!   Poli, sapeur;          §h  +5%§!   Höflich, pionier;;          §h  +5%§!   Educado, ingenieros;;;;;;;;;
politexarmchair_general;          §h+10%§!   Polite, armchair general;          §h+10%§!   Poli, général de façade;          §h+10%§!   Höflich, sesselgeneral;;          §h+10%§!   Educado, general apoltronado;;;;;;;;;
politexbureaucrat_speed;          §h+15%§!   Polite, bureaucrat speed;          §h+15%§!   Poli, vitesse de bureaucrate;          §h+15%§!   Höflich, bürokratische geschwindigkeit;;          §h+15%§!   Educado, chupatintas;;;;;;;;;
politexgenerals_aide;     §h+1§!            Polite, general's aide;     §h+1§!            Poli, aide de camp;     §h+1§!            Höflich, generalsadjutant;;     §h+1§!            Educado, ayudante de campo;;;;;;;;;
politexamateur;     §u–1§! §u–25%§!   Polite, amateur;     §u–1§! §u–25%§!   Poli, amateur;     §u–1§! §u–25%§!   Höflich, amateur;;     §u–1§! §u–25%§!   Educado, aficionado;;;;;;;;;
politexmadman;                  §u¿§! Polite, madman;                  §u¿§! Poli, fou;                  §u¿§! Höflich, irrer;;                  §u¿§! Educado, loco;;;;;;;;;
politexaristocrat;                  §h?§! Polite, aristocrat;                  §h?§! Poli, aristocrate;                  §h?§! Höflich, aristokrat;;                  §h?§! Educado, aristócrata;;;;;;;;;
politexdrillmaster;                  §G!!!§! Polite, drillmaster;                  §G!!!§! Poli, sergent instructeur;                  §G!!!§! Höflich, zuchtmeister;;                  §G!!!§! Educado, instructor;;;;;;;;;
politexbutcher;                     Polite, butcher;                     Poli, boucher;                     Höflich, schlächter;;                     Educado, carnicero;;;;;;;;;
politexexranker;                  §u¿§! Polite, exranker;                  §u¿§! Poli, ancien militaire;                  §u¿§! Höflich, ex-gefreiter;;                  §u¿§! Educado, ascendido desde la tropa;;;;;;;;;
politexadventurer;§h+1§!                 Polite, adventurer;§h+1§!                 Poli, aventurier;§h+1§!                 Höflich, abenteurer;;§h+1§!                 Educado, aventurero;;;;;;;;;
politexdebutante;                     Polite, debutante;                     Poli, débutant;                     Höflich, debütant;;                     Educado, debutante;;;;;;;;;
politexcolonial_b;     §u–2§! §h+20%§!   Polite, colonial;     §u–2§! §h+20%§!   Poli, colonial;     §u–2§! §h+20%§!   Höflich, kolonial;;     §u–2§! §h+20%§!   Educado, colonial;;;;;;;;;
politexdisgraced;                     Polite, disgraced;                     Poli, déshonoré;                     Höflich, in ungnade gefallener;;                     Educado, deshonrado;;;;;;;;;
politexpriest;                     Polite, priest;                     Poli, prêtre;                     Höflich, priester;;                     Educado, sacerdote;;;;;;;;;
politexrising_star;                     Polite, rising star;                     Poli, étoile montante;                     Höflich, aufsteigender stern;;                     Educado, nueva promesa;;;;;;;;;
politexpolitician;                  §u¿§! Polite, politician;                  §u¿§! Poli, politicien;                  §u¿§! Höflich, politiker;;                  §u¿§! Educado, político;;;;;;;;;
politexpoet;§u–1§!              §G!!!§! Polite, poet;§u–1§!              §G!!!§! Poli, poète;§u–1§!              §G!!!§! Höflich, poet;;§u–1§!              §G!!!§! Educado, poeta;;;;;;;;;
politexcartographer;          §G+40%§!   Polite, cartographer;          §G+40%§!   Poli, cartographe;          §G+40%§!   Höflich, kartograf;;          §G+40%§!   Educado, cartógrafo;;;;;;;;;
politexprofessor;§u–1§! §u–1§!         §G!!!§! Polite, professor;§u–1§! §u–1§!         §G!!!§! Poli, professeur;§u–1§! §u–1§!         §G!!!§! Höflich, professor;;§u–1§! §u–1§!         §G!!!§! Educado, profesor;;;;;;;;;
politexold_school;§h+1§! §u–2§!         §G!!!§! Polite, old school;§h+1§! §u–2§!         §G!!!§! Poli, vieille école;§h+1§! §u–2§!         §G!!!§! Höflich, alte schule;;§h+1§! §u–2§!         §G!!!§! Educado, de la vieja escuela;;;;;;;;;
politexeccentric_genius;§h+2§!                 Polite, eccentric genius;§h+2§!                 Poli, génie excentrique;§h+2§!                 Höflich, exzentrisches genie;;§h+2§!                 Educado, genio excéntrico;;;;;;;;;
politexgifted_administrator;                  §h?§! Polite, gifted administrator;                  §h?§! Poli, administrateur doué;                  §h?§! Höflich, begabter administrator;;                  §h?§! Educado, gran administrador;;;;;;;;;
politexinnovative_tactician;§h+1§!                 Polite, innovative tactician;§h+1§!                 Poli, tacticien novateur;§h+1§!                 Höflich, innovativer taktiker;;§h+1§!                 Educado, táctico innovador;;;;;;;;;
politexexpert_raider;§h+2§!                 Polite, expert raider;§h+2§!                 Poli, commando expérimenté;§h+2§!                 Höflich, überfallexperte;;§h+2§!                 Educado, experto en asaltos;;;;;;;;;
politexnatural_born_leader;§h+1§!              §h?§! Polite, natural born leader;§h+1§!              §h?§! Poli, chef naturel;§h+1§!              §h?§! Höflich, geborener anführer;;§h+1§!              §h?§! Educado, líder nato;;;;;;;;;
politexmegalomaniac;§u–2§!                 Polite, megalomaniac;§u–2§!                 Poli, mégalomane;§u–2§!                 Höflich, megalomane;;§u–2§!                 Educado, megalómano;;;;;;;;;
politexhated;§h+1§! §h+1§!         §R¡¡¡§! Polite, hated;§h+1§! §h+1§!         §R¡¡¡§! Poli, odieux;§h+1§! §h+1§!         §R¡¡¡§! Höflich, gehasst;;§h+1§! §h+1§!         §R¡¡¡§! Educado, odiado;;;;;;;;;
politexcursed_luck;§h+2§! §h+2§!         §R¡¡¡§! Polite, cursed luck;§h+2§! §h+2§!         §R¡¡¡§! Poli, malchanceux;§h+2§! §h+2§!         §R¡¡¡§! Höflich, vom pech verflucht;;§h+2§! §h+2§!         §R¡¡¡§! Educado, mala pata;;;;;;;;;
politexclueless;§u–1§!              §R¡¡¡§! Polite, clueless;§u–1§!              §R¡¡¡§! Poli, ignorant;§u–1§!              §R¡¡¡§! Höflich, ahnungslos;;§u–1§!              §R¡¡¡§! Educado, negado;;;;;;;;;
politexdiplomat;          §u  –5%§!   Polite, diplomat;          §u  –5%§!   Poli, diplomate;          §u  –5%§!   Höflich, diplomat;;          §u  –5%§!   Educado, diplomático;;;;;;;;;
politexpowerful_friends;          §u–10%§!   Polite, powerful friends;          §u–10%§!   Poli, amis puissants;          §u–10%§!   Höflich, mächtige freunde;;          §u–10%§!   Educado, de padrinos poderosos;;;;;;;;;
politeximmoral;                  §u¿§! Polite, immoral;                  §u¿§! Poli, immoral;                  §u¿§! Höflich, unmoralisch;;                  §u¿§! Educado, inmoral;;;;;;;;;
politexwomanizer;                  §G!!!§! Polite, womanizer;                  §G!!!§! Poli, coureur de jupons;                  §G!!!§! Höflich, schürzenjäger;;                  §G!!!§! Educado, mujeriego;;;;;;;;;
politexwarmonger;          §h+10%§!§R¡¡¡§! Polite, warmonger;          §h+10%§!§R¡¡¡§! Poli, belliciste;          §h+10%§!§R¡¡¡§! Höflich, kriegstreiber;;          §h+10%§!§R¡¡¡§! Educado, belicista;;;;;;;;;
politexcorrupt;                  §R¡¡¡§! Polite, corrupt;                  §R¡¡¡§! Poli, corrompu;                  §R¡¡¡§! Höflich, korrupt;;                  §R¡¡¡§! Educado, corrupto;;;;;;;;;
politexbootlicker;     §h+1§!            Polite, bootlicker;     §h+1§!            Poli, lèche-bottes;     §h+1§!            Höflich, speichellecker;;     §h+1§!            Educado, pelotillero;;;;;;;;;
politexsycophant;                  §G!!!§! Polite, sycophant;                  §G!!!§! Poli, flagorneur;                  §G!!!§! Höflich, kriecher;;                  §G!!!§! Educado, adulador;;;;;;;;;
politextoady;§h+1§!              §h?§! Polite, toady;§h+1§!              §h?§! Poli, flatteur;§h+1§!              §h?§! Höflich, schleimer;;§h+1§!              §h?§! Educado, pelota;;;;;;;;;
politexyesman;                     Polite, yesman;                     Poli, béni-oui-oui;                     Höflich, jasager;;                     Educado, pelotillero;;;;;;;;;
politexbrownnoser;§h+1§!                 Polite, brownnoser;§h+1§!                 Poli, lèche-cul;§h+1§!                 Höflich, stiefellecker;;§h+1§!                 Educado, obsequioso;;;;;;;;;
politexspoiled;§h+2§!                 Polite, spoiled;§h+2§!                 Poli, gâté;§h+2§!                 Höflich, verwöhnt;;§h+2§!                 Educado, malcriado;;;;;;;;;
politexschool_of_defense;     §G+3§!            Polite, school of defense;     §G+3§!            Poli, école de défense;     §G+3§!            Höflich, schule der verteidigung;;     §G+3§!            Educado, escuela de la defensa;;;;;;;;;
politexschool_of_offense;§h+1§!      §h+10%§!§h?§! Polite, school of offense;§h+1§!      §h+10%§!§h?§! Poli, école d'attaque;§h+1§!      §h+10%§!§h?§! Höflich, schule der offensive;;§h+1§!      §h+10%§!§h?§! Educado, escuela del ataque;;;;;;;;;
politexschool_of_the_bayonet;§h+2§! §h+1§! §h+10%§!   Polite, school of the bayonet;§h+2§! §h+1§! §h+10%§!   Poli, école de la baïonnette;§h+2§! §h+1§! §h+10%§!   Höflich, schule des bajonetts;;§h+2§! §h+1§! §h+10%§!   Educado, escuela de la bayoneta;;;;;;;;;
politexschool_of_firepower;§h+1§!              §G!!!§! Polite, school of firepower;§h+1§!              §G!!!§! Poli, école de la puissance de feu;§h+1§!              §G!!!§! Höflich, schule der feuerkraft;;§h+1§!              §G!!!§! Educado, escuela de la potencia de fuego;;;;;;;;;
politexartillerist;     §h+1§!         §h?§! Polite, artillerist;     §h+1§!         §h?§! Poli, artilleur;     §h+1§!         §h?§! Höflich, artillerist;;     §h+1§!         §h?§! Educado, artillero;;;;;;;;;
politexuncommonly_young;§h+1§! §h+1§!            Polite, uncommonly young;§h+1§! §h+1§!            Poli, singulièrement jeune;§h+1§! §h+1§!            Höflich, ungewöhnlich jung;;§h+1§! §h+1§!            Educado, extraordinariamente joven;;;;;;;;;
politexsucker;§u–1§!                 Polite, sucker;§u–1§!                 Poli, gogo;§u–1§!                 Höflich, trottel;;§u–1§!                 Educado, chupóptero;;;;;;;;;
politexsad_sack;§u–2§!                 Polite, sad sack;§u–2§!                 Poli, raté;§u–2§!                 Höflich, trauriger sack;;§u–2§!                 Educado, negado;;;;;;;;;
politexunfit;§u–2§!              §R¡¡¡§! Polite, unfit;§u–2§!              §R¡¡¡§! Poli, inapte;§u–2§!              §R¡¡¡§! Höflich, ungeeignet;;§u–2§!              §R¡¡¡§! Educado, inútil;;;;;;;;;
politexunqualified;          §u–10%§!   Polite, unqualified;          §u–10%§!   Poli, non qualifié;          §u–10%§!   Höflich, unqualifiziert;;          §u–10%§!   Educado, inepto;;;;;;;;;
politexpawn;                     Polite, pawn;                     Poli, pion;                     Höflich, pfand;;                     Educado, títere;;;;;;;;;
politexelderly;                     Polite, elderly;                     Poli, âgé;                     Höflich, älter;;                     Educado, anciano;;;;;;;;;
politexincompetent;                     Polite, incompetent;                     Poli, incompétent;                     Höflich, inkompetent;;                     Educado, incompetente;;;;;;;;;
tactfulxwar_college;§h+1§!                 Tactful, war college;§h+1§!                 Délicat, école militaire;§h+1§!                 Taktvoll, militärakademie;;§h+1§!                 Prudente, academia militar;;;;;;;;;
tactfulxcavalry_school;§h+2§!                 Tactful, cavalry school;§h+2§!                 Délicat, école de cavalerie;§h+2§!                 Taktvoll, kavallerieschule;;§h+2§!                 Prudente, escuela de caballería;;;;;;;;;
tactfulxengineer;          §h  +5%§!   Tactful, engineer;          §h  +5%§!   Délicat, sapeur;          §h  +5%§!   Taktvoll, pionier;;          §h  +5%§!   Prudente, ingenieros;;;;;;;;;
tactfulxarmchair_general;          §h+10%§!   Tactful, armchair general;          §h+10%§!   Délicat, général de façade;          §h+10%§!   Taktvoll, sesselgeneral;;          §h+10%§!   Prudente, general apoltronado;;;;;;;;;
